file_path,file_name,study_folder,file_type
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-6881_assay-microstructure_cond-control.csv",sub-6881_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-6881_assay-microstructure_cond-deprivaiton.csv",sub-6881_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-6da2_assay-microstructure_cond-control.csv",sub-6da2_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-6da2_assay-microstructure_cond-deprivaiton.csv",sub-6da2_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-6fad_assay-microstructure_cond-control.csv",sub-6fad_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-6fad_assay-microstructure_cond-deprivaiton.csv",sub-6fad_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-779d_assay-microstructure_cond-control.csv",sub-779d_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-779d_assay-microstructure_cond-deprivaiton.csv",sub-779d_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-7a53_assay-microstructure_cond-control.csv",sub-7a53_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-7a53_assay-microstructure_cond-deprivaiton.csv",sub-7a53_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-7d9e_assay-microstructure_cond-control.csv",sub-7d9e_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-7d9e_assay-microstructure_cond-deprivaiton.csv",sub-7d9e_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-7eba_assay-microstructure_cond-control.csv",sub-7eba_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-7eba_assay-microstructure_cond-deprivaiton.csv",sub-7eba_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-7fab_assay-microstructure_cond-control.csv",sub-7fab_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-7fab_assay-microstructure_cond-deprivaiton.csv",sub-7fab_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-8a9b_assay-microstructure_cond-control.csv",sub-8a9b_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-8a9b_assay-microstructure_cond-deprivaiton.csv",sub-8a9b_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-8ac8_assay-microstructure_cond-control.csv",sub-8ac8_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-8ac8_assay-microstructure_cond-deprivaiton.csv",sub-8ac8_assay-microstructure_cond-deprivaiton.csv,data,microstructure
