study_folder,file_name,n_rows,n_variables,total_missing,percent_missing_overall,mean_percent_missing_participant,range_percent_missing_participant,complete_cases,participants_85_percent_complete,intake_macros_computed
data,sub-93a2_assay-microstructure_cond-deprivaiton.csv,261,18,2088,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-94a3_assay-microstructure_cond-control.csv,36,14,216,42.86,42.86,42.86% - 42.86%,0,0,No
data,sub-94a3_assay-microstructure_cond-deprivaiton.csv,58,14,348,42.86,42.86,42.86% - 42.86%,0,0,No
data,sub-960c_assay-microstructure_timepoint-a.csv,87,9,0,0,0,0% - 0%,87,1,No
data,sub-960c_assay-microstructure_timepoint-b.csv,139,9,0,0,0,0% - 0%,139,1,No
data,sub-9746_assay-microstructure_timepoint-a.csv,102,9,0,0,0,0% - 0%,102,1,No
data,sub-9746_assay-microstructure_timepoint-b.csv,106,9,0,0,0,0% - 0%,106,1,No
data,sub-9935_assay-microstructure_timepoint-a.csv,121,9,0,0,0,0% - 0%,121,1,No
data,sub-9935_assay-microstructure_timepoint-b.csv,70,9,0,0,0,0% - 0%,70,1,No
data,sub-9996_assay-microstructure_timepoint-a.csv,121,9,0,0,0,0% - 0%,121,1,No
data,sub-9996_assay-microstructure_timepoint-b.csv,70,9,0,0,0,0% - 0%,70,1,No
data,sub-9bcd_assay-microstructure_cond-control.csv,103,18,824,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-9bcd_assay-microstructure_cond-deprivaiton.csv,103,18,824,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-9d62_assay-microstructure_timepoint-a.csv,116,9,0,0,0,0% - 0%,116,1,No
data,sub-9d62_assay-microstructure_timepoint-b.csv,91,9,0,0,0,0% - 0%,91,1,No
data,sub-9d89_assay-microstructure_cond-control.csv,114,18,912,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-9d89_assay-microstructure_cond-deprivaiton.csv,170,18,1360,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-9ec8_assay-microstructure_timepoint-a.csv,492,9,0,0,0,0% - 0%,492,1,No
data,sub-9ec8_assay-microstructure_timepoint-b.csv,275,9,0,0,0,0% - 0%,275,1,No
data,sub-a72e_assay-microstructure_timepoint-a.csv,116,9,0,0,0,0% - 0%,116,1,No
data,sub-a72e_assay-microstructure_timepoint-b.csv,91,9,0,0,0,0% - 0%,91,1,No
data,sub-aaca_assay-microstructure_timepoint-a.csv,116,9,0,0,0,0% - 0%,116,1,No
data,sub-aaca_assay-microstructure_timepoint-b.csv,91,9,0,0,0,0% - 0%,91,1,No
data,sub-ab1d_assay-microstructure_cond-control.csv,59,18,472,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-ab1d_assay-microstructure_cond-deprivaiton.csv,77,18,616,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-ac90_assay-microstructure_cond-control.csv,28,18,224,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-ac90_assay-microstructure_cond-deprivaiton.csv,21,18,168,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-b134_assay-microstructure_timepoint-a.csv,161,9,0,0,0,0% - 0%,161,1,No
data,sub-b134_assay-microstructure_timepoint-b.csv,150,9,0,0,0,0% - 0%,150,1,No
data,sub-b22f_assay-microstructure_cond-control.csv,144,14,928,46.03,46.03,46.03% - 46.03%,0,0,No
data,sub-b22f_assay-microstructure_cond-deprivaiton.csv,95,14,623,46.84,46.84,46.84% - 46.84%,0,0,No
data,sub-b451_assay-microstructure_timepoint-a.csv,1,9,0,0,0,0% - 0%,1,1,No
data,sub-b451_assay-microstructure_timepoint-b.csv,137,9,0,0,0,0% - 0%,137,1,No
data,sub-b615_assay-microstructure_cond-control.csv,103,18,824,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-b615_assay-microstructure_cond-deprivaiton.csv,103,18,824,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-b6d5_assay-microstructure_cond-control.csv,170,18,1360,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-b6d5_assay-microstructure_cond-deprivaiton.csv,261,18,2088,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-b7da_assay-microstructure_cond-control.csv,68,18,544,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-b7da_assay-microstructure_cond-deprivaiton.csv,166,18,1322,44.24,44.24,44.24% - 44.24%,0,0,No
data,sub-bb2b_assay-microstructure_cond-control.csv,301,18,2336,43.12,43.12,43.12% - 43.12%,0,0,No
data,sub-bb2b_assay-microstructure_cond-deprivaiton.csv,242,17,1684,40.93,40.93,40.93% - 40.93%,2,0,No
data,sub-bb72_assay-microstructure_cond-control.csv,200,18,1600,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-bb72_assay-microstructure_cond-deprivaiton.csv,285,18,2235,43.57,43.57,43.57% - 43.57%,0,0,No
data,sub-bc10_assay-microstructure_cond-control.csv,114,18,912,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-bc10_assay-microstructure_cond-deprivaiton.csv,90,18,720,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-be51_assay-microstructure_cond-control.csv,80,18,640,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-be51_assay-microstructure_cond-deprivaiton.csv,56,18,448,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-bfb5_assay-microstructure_cond-control.csv,176,18,1408,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-bfb5_assay-microstructure_cond-deprivaiton.csv,144,18,1152,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-c4a4_assay-microstructure_cond-control.csv,172,18,1376,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-c4a4_assay-microstructure_cond-deprivaiton.csv,223,18,1784,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-c4dc_assay-microstructure_timepoint-a.csv,492,9,0,0,0,0% - 0%,492,1,No
data,sub-c4dc_assay-microstructure_timepoint-b.csv,275,9,0,0,0,0% - 0%,275,1,No
data,sub-c524_assay-microstructure_timepoint-a.csv,113,9,0,0,0,0% - 0%,113,1,No
data,sub-c524_assay-microstructure_timepoint-b.csv,66,9,0,0,0,0% - 0%,66,1,No
data,sub-c52c_assay-microstructure_timepoint-a.csv,87,9,0,0,0,0% - 0%,87,1,No
data,sub-c52c_assay-microstructure_timepoint-b.csv,139,9,0,0,0,0% - 0%,139,1,No
data,sub-c5c4_assay-microstructure_timepoint-a.csv,120,9,0,0,0,0% - 0%,120,1,No
data,sub-c5c4_assay-microstructure_timepoint-b.csv,93,9,0,0,0,0% - 0%,93,1,No
data,sub-c901_assay-microstructure_cond-control.csv,176,18,1408,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-c901_assay-microstructure_cond-deprivaiton.csv,144,18,1152,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-cb3f_assay-microstructure_cond-control.csv,148,18,1184,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-cb3f_assay-microstructure_cond-deprivaiton.csv,123,18,984,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-cba4_assay-microstructure_cond-control.csv,192,18,1536,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-cba4_assay-microstructure_cond-deprivaiton.csv,188,18,1504,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-cfd3_assay-microstructure_timepoint-a.csv,102,9,0,0,0,0% - 0%,102,1,No
data,sub-cfd3_assay-microstructure_timepoint-b.csv,106,9,0,0,0,0% - 0%,106,1,No
data,sub-d1b5_assay-microstructure_cond-control.csv,192,18,1536,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-d1b5_assay-microstructure_cond-deprivaiton.csv,188,18,1504,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-d2aa_assay-microstructure_timepoint-a.csv,121,9,0,0,0,0% - 0%,121,1,No
data,sub-d2aa_assay-microstructure_timepoint-b.csv,70,9,0,0,0,0% - 0%,70,1,No
data,sub-d33f_assay-microstructure_cond-control.csv,89,18,712,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-d33f_assay-microstructure_cond-deprivaiton.csv,40,18,320,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-d379_assay-microstructure_cond-control.csv,55,18,440,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-d379_assay-microstructure_cond-deprivaiton.csv,115,18,920,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-d426_assay-microstructure_cond-control.csv,113,14,678,42.86,42.86,42.86% - 42.86%,0,0,No
data,sub-d426_assay-microstructure_cond-deprivaiton.csv,185,16,1295,43.75,43.75,43.75% - 43.75%,0,0,No
