study,Dataset,Data group,# variables observed,Total data points,Total missing,% missing overall,Mean % missing by participant,Range of % missing by participant,# complete cases,# participants ≥85% complete
1992_eatdis_deprivation,sub-61bd_assay-microstructure_cond-deprivaiton.csv,All data,10,920,0,0,0,0.00% - 0.00%,92,92
1992_eatdis_deprivation,sub-61bd_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,368,0,0,0,0.00% - 0.00%,92,92
1992_eatdis_deprivation,sub-6517_assay-microstructure_cond-control.csv,All data,10,600,0,0,0,0.00% - 0.00%,60,60
1992_eatdis_deprivation,sub-6517_assay-microstructure_cond-control.csv,Questionnaire data,4,240,0,0,0,0.00% - 0.00%,60,60
1992_eatdis_deprivation,sub-6517_assay-microstructure_cond-deprivaiton.csv,All data,10,790,0,0,0,0.00% - 0.00%,79,79
1992_eatdis_deprivation,sub-6517_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,316,0,0,0,0.00% - 0.00%,79,79
1992_eatdis_deprivation,sub-6881_assay-microstructure_cond-control.csv,All data,10,1620,0,0,0,0.00% - 0.00%,162,162
1992_eatdis_deprivation,sub-6881_assay-microstructure_cond-control.csv,Questionnaire data,4,648,0,0,0,0.00% - 0.00%,162,162
1992_eatdis_deprivation,sub-6881_assay-microstructure_cond-deprivaiton.csv,All data,10,1000,0,0,0,0.00% - 0.00%,100,100
1992_eatdis_deprivation,sub-6881_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,400,0,0,0,0.00% - 0.00%,100,100
1992_eatdis_deprivation,sub-6da2_assay-microstructure_cond-control.csv,All data,10,1370,0,0,0,0.00% - 0.00%,137,137
1992_eatdis_deprivation,sub-6da2_assay-microstructure_cond-control.csv,Questionnaire data,4,548,0,0,0,0.00% - 0.00%,137,137
1992_eatdis_deprivation,sub-6da2_assay-microstructure_cond-deprivaiton.csv,All data,10,1570,0,0,0,0.00% - 0.00%,157,157
1992_eatdis_deprivation,sub-6da2_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,628,0,0,0,0.00% - 0.00%,157,157
1992_eatdis_deprivation,sub-6fad_assay-microstructure_cond-control.csv,All data,10,2000,0,0,0,0.00% - 0.00%,200,200
1992_eatdis_deprivation,sub-6fad_assay-microstructure_cond-control.csv,Questionnaire data,4,800,0,0,0,0.00% - 0.00%,200,200
1992_eatdis_deprivation,sub-6fad_assay-microstructure_cond-deprivaiton.csv,All data,15,4275,1380,32.28,32.28,0.00% - 33.33%,9,9
1992_eatdis_deprivation,sub-6fad_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,1140,0,0,0,0.00% - 0.00%,285,285
1992_eatdis_deprivation,sub-779d_assay-microstructure_cond-control.csv,All data,10,880,0,0,0,0.00% - 0.00%,88,88
1992_eatdis_deprivation,sub-779d_assay-microstructure_cond-control.csv,Questionnaire data,4,352,0,0,0,0.00% - 0.00%,88,88
1992_eatdis_deprivation,sub-779d_assay-microstructure_cond-deprivaiton.csv,All data,10,1950,0,0,0,0.00% - 0.00%,195,195
