study_folder,file_name,data_group,n_variables,total_data_points,total_missing,percent_missing_overall,percent_data_present,mean_percent_missing_participant,range_percent_missing_participant,complete_cases,participants_85_percent_complete
1992_eatdis_deprivation,sub-b7da_assay-microstructure_cond-control.csv,Other data,10,680,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-b7da_assay-microstructure_cond-deprivaiton.csv,Other data,16,2656,990,37.27,62.73,39.76,39.76% - 39.76%,0,0
1992_eatdis_deprivation,sub-bb2b_assay-microstructure_cond-control.csv,Other data,16,4816,1734,36,64,38.41,38.41% - 38.41%,0,0
1992_eatdis_deprivation,sub-bb2b_assay-microstructure_cond-deprivaiton.csv,Other data,17,4114,1684,40.93,59.07,43.49,43.49% - 43.49%,0,0
1992_eatdis_deprivation,sub-bb72_assay-microstructure_cond-control.csv,Other data,10,2000,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-bb72_assay-microstructure_cond-deprivaiton.csv,Other data,15,4275,1380,32.28,67.72,34.59,34.59% - 34.59%,0,0
1992_eatdis_deprivation,sub-bc10_assay-microstructure_cond-control.csv,Other data,10,1140,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-bc10_assay-microstructure_cond-deprivaiton.csv,Other data,10,900,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-be51_assay-microstructure_cond-control.csv,Other data,10,800,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-be51_assay-microstructure_cond-deprivaiton.csv,Other data,10,560,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-bfb5_assay-microstructure_cond-control.csv,Other data,10,1760,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-bfb5_assay-microstructure_cond-deprivaiton.csv,Other data,10,1440,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-c4a4_assay-microstructure_cond-control.csv,Other data,10,1720,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-c4a4_assay-microstructure_cond-deprivaiton.csv,Other data,10,2230,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-c901_assay-microstructure_cond-control.csv,Other data,10,1760,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-c901_assay-microstructure_cond-deprivaiton.csv,Other data,10,1440,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-cb3f_assay-microstructure_cond-control.csv,Other data,10,1480,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-cb3f_assay-microstructure_cond-deprivaiton.csv,Other data,10,1230,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-cba4_assay-microstructure_cond-control.csv,Other data,10,1920,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-cba4_assay-microstructure_cond-deprivaiton.csv,Other data,10,1880,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-d1b5_assay-microstructure_cond-control.csv,Other data,10,1920,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-d1b5_assay-microstructure_cond-deprivaiton.csv,Other data,10,1880,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-d33f_assay-microstructure_cond-control.csv,Other data,10,890,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-d33f_assay-microstructure_cond-deprivaiton.csv,Other data,10,400,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-d379_assay-microstructure_cond-control.csv,Other data,10,550,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-d379_assay-microstructure_cond-deprivaiton.csv,Other data,10,1150,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-d426_assay-microstructure_cond-control.csv,Other data,8,904,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-d426_assay-microstructure_cond-deprivaiton.csv,Other data,9,1665,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-d706_assay-microstructure_cond-control.csv,Other data,10,1370,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-d706_assay-microstructure_cond-deprivaiton.csv,Other data,10,1570,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-dc6d_assay-microstructure_cond-control.csv,Other data,10,280,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-dc6d_assay-microstructure_cond-deprivaiton.csv,Other data,10,210,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-de79_assay-microstructure_cond-control.csv,Other data,15,1965,650,33.08,66.92,35.44,35.44% - 35.44%,0,0
1992_eatdis_deprivation,sub-de79_assay-microstructure_cond-deprivaiton.csv,Other data,10,1870,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-df5d_assay-microstructure_cond-control.csv,Other data,10,550,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-df5d_assay-microstructure_cond-deprivaiton.csv,Other data,10,1150,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-e3c3_assay-microstructure_cond-control.csv,Other data,10,1800,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-e3c3_assay-microstructure_cond-deprivaiton.csv,Other data,10,1840,0,0,100,0,0% - 0%,1,1
