study_folder,file_name,variable_name
1990_sss_age_yogurt,assay-foodpref_data.csv,skim_milk_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,skim_milk_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,skim_milk_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,skim_milk_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,strawberry_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,strawberry_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,strawberry_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,strawberry_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,tbone_steak_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,tbone_steak_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,tbone_steak_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,tbone_steak_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,watermelon_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,watermelon_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,watermelon_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,watermelon_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,wheat_bread_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,wheat_bread_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,wheat_bread_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,wheat_bread_taste
1990_sss_age_yogurt,assay-sss_data.csv,agegroup
1990_sss_age_yogurt,assay-sss_data.csv,amtyogurt
1990_sss_age_yogurt,assay-sss_data.csv,appearance_carrot_post
1990_sss_age_yogurt,assay-sss_data.csv,appearance_carrot_pre
1990_sss_age_yogurt,assay-sss_data.csv,appearance_cracker_post
1990_sss_age_yogurt,assay-sss_data.csv,appearance_cracker_pre
1990_sss_age_yogurt,assay-sss_data.csv,appearance_pretzel_post
1990_sss_age_yogurt,assay-sss_data.csv,appearance_pretzel_pre
1990_sss_age_yogurt,assay-sss_data.csv,appearance_tuna_post
1990_sss_age_yogurt,assay-sss_data.csv,appearance_tuna_pre
1990_sss_age_yogurt,assay-sss_data.csv,appearance_yogurt_post
1990_sss_age_yogurt,assay-sss_data.csv,appearance_yogurt_pre
1990_sss_age_yogurt,assay-sss_data.csv,desire_carrot_post
